Cabang,Kategori Barang,Kode Barang,Nama Barang,Jenis Barang,Def. Hrg. Jual Satuan #1,Kts (Semua Gdng),Nilai Satuan,Nilai Total,KATEGORI PEMBAYARAN;
Klender,AKSESORIS,AKSL-036,SPOTLITE TEMPERED GLASS MATTE CLEAR IPHONE 12/12 PRO,Persediaan,70000.0,3,36000.0,108000.0,TEMPO;
Klender,SPAREPART,106700,KMRBK XIO REDMI 9A,Persediaan,114999.0,0,0.0,0.0,;
Klender,SPAREPART,104106,BATER LPT HP OMEN PG06XL,Persediaan,400000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108734,KYBRD LPT ASUS FX506,Persediaan,350000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108792,FLCRG INF NOTE 50X 5G,Persediaan,0.0,1,27500.0,27500.0,;
Klender,SPAREPART,105682,LCD.. OPP A60/ A58 4G /A3X/ A5X/ RLM C65,Persediaan,180000.0,3,135416.666662,406249.999986,CASH;
Klender,SPAREPART,108797,KIPAS FAN LPT ASUS X450 X450C,Persediaan,0.0,1,98412.0,98412.0,;
Klender,SPAREPART,107895,FLVLM RLM X,Persediaan,15000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,101498,ICCRG IPH 6S/ 6S PLUS,Persediaan,66000.0,0,0.0,0.0,;
Klender,SPAREPART,101939,LCD.. XIO REDMI NOTE 5A W FST,Persediaan,226408.5,3,167710.648148,503131.944444,;
Klender,SPAREPART,100638,AMPLAS TSHB,Persediaan,0.0,0,0.0,0.0,;
Klender,HANDPHONE,106278,INFINIX HOT 60 PRO RAM 8/256GB,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,LAPTOP,106255,MACBOOK AIR M2 8/512GB,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,AKRT-003,ROBOT SPEAKER BLUETOOTH + CABLE RGB WATERPROOF RB120,Persediaan,103000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,104768,FLBRD VIV S1,Persediaan,43744.0,7,21872.727273,153109.090911,;
Klender,SPAREPART,106598,KYBRD LPT ASUS TUF FX505D WBL,Persediaan,450000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106599,FLONF REALME C17,Persediaan,20000.0,0,0.0,0.0,;
Klender,SPAREPART,108208,BATER LPT ACER E5-471,Persediaan,300000.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,AKRT-205,ROBOT TWS PORT CHARGER TYPE C  BLACK AIR 20,Persediaan,215000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108564,RAM.. DDR2 2GB SODIMM,Persediaan,185000.0,1,130000.0,130000.0,CASH;
Klender,SPAREPART,108793,SPKR. ATAS SAM A21S /A22 4G /A31 /A32 4G,Persediaan,0.0,2,10000.0,20000.0,;
"Klender,SPAREPART,108798,""LCD.. LPT LENOVO THINKPAD X280 12.5""""IN TOUCHSREEN"",Persediaan,0.0,0,0.0,0.0,CASH";
Klender,AKSESORIS,100076,FOOMEE HEADSET QA45,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,AKRP-023,RAPA KABEL DATA USB 4 IN 1 LINE MAX PRO 60W DC5054 FST,Persediaan,305000.0,2,266500.0,533000.0,KONSI;
Klender,AKSESORIS,AKRP-044,RAPA KABEL DATA USB TO C LINE MAX 3A DC2021 FST,Persediaan,70000.0,0,0.0,0.0,KONSI;
Klender,SPAREPART,101500,LCD.. SAM J701 B,Persediaan,230512.5,0,0.0,0.0,;
Klender,AKSESORIS,AKRP-029,RAPA KABEL DATA USB TO C LINE OFF 3A DC1101 FST,Persediaan,70000.0,0,0.0,0.0,KONSI;
Klender,SPAREPART,102040,FRLCD OPP F11 B,Persediaan,45375.0,2,27500.0,55000.0,;
Klender,AKSESORIS,105397,ROBOT TWS PINK T22,Persediaan,185000.0,1,142000.0,142000.0,CASH;
Klender,AKSESORIS,AKRT-206,ROBOT TWS PORT CHARGER TYPE C  PURPLE AIR 20,Persediaan,192000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,101842,LCD.. XIO MI A3 B,Persediaan,0.0,0,0.0,0.0,;
Klender,AKSESORIS,106568,FOOMEE HEADSET QA06,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108368,BATER LPT HP RE03XL,Persediaan,400000.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,AKRP-036,RAPA KABEL DATA USB TO C LINE I 3A 3 WARNA DC1011 FST,Persediaan,55000.0,0,0.0,0.0,KONSI;
"Klender,AKSESORIS,AKRT-004,""ROBOT CAR CHARGER 2 PORT USB + TYPE C FAST CHARGING 2,4A RT-C09"",Persediaan,51000.0,0,0.0,0.0,CASH";
Klender,AKSESORIS,104183,ROBOT TWS T70E GREEN,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108200,FLEXI ANTENA UNIV 15CM,Persediaan,25000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108371,PERNIK SAM A33 5G / A53 5G,Persediaan,25000.0,1,12500.0,12500.0,CASH;
Klender,SPAREPART,100939,BATER XIO REDMI 4,Persediaan,0.0,0,0.0,0.0,;
Klender,SPAREPART,108369,BATER LPT SURFACE 5 PRO,Persediaan,450000.0,0,0.0,0.0,CASH;
Klender,SPAREPART,106701,CSGFL XIO REDMI 9A,Persediaan,66000.0,0,0.0,0.0,;
Klender,AKSESORIS,AKRT-005,ROBOT ADAPTOR CHARGER TYPE C 3A 20W C TO LIGHTNING CABLE RT-F6,Persediaan,101000.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,106576,FLECO ADAPTOR CHARGER F-124PRO,Persediaan,25000.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,104994,ROBOT USB MINI FAN RT-BF22 CREAM,Persediaan,0.0,1,89703.0,89703.0,CASH;
Klender,SPAREPART,108370,FLCRG SAM A21S,Persediaan,50000.0,2,22500.0,45000.0,CASH;
Klender,LAPTOP,106513,SIU ALL IN ONE PC 215Z2 i5-4590 16/512GB 22 INCH,Persediaan,2999999.0,0,0.0,4e-06,KONSI;
Klender,SPAREPART,108800,KMRBK RLM 10 PRO ORI,Persediaan,0.0,1,260000.0,260000.0,;
Klender,AKSESORIS,101778,ROBOT TWS PORT CHARGER TYPE C WATERPROOF 5.3 PURPLE T60,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,103311,FLECO OTG USB MICRO 3.0,Persediaan,0.0,15,9000.0,135000.0,CASH;
Klender,SPAREPART,108805,FLCRG OPP A60,Persediaan,0.0,3,30000.0,90000.0,;
Klender,HANDPHONE,105178,SAMSUNG TAB A9 4/64 CELL (NEW),Persediaan,0.0,1,2319000.0,2319000.0,CASH;
Klender,AKSESORIS,106603,FOOMEE HEADSET QA41 WHITE,Persediaan,60000.0,0,0.0,0.0,CASH;
Klender,AKSESORIS,103357,ROBOT RT-BR09 ULTRA SLIM 2 IN 1 PHONE HOLDER,Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,102214,KMRDP SAM A52,Persediaan,218700.0,0,0.0,0.0,;
Klender,SPAREPART,102427,CSGFL IPH 7 S,Persediaan,162000.0,1,120000.0,120000.0,;
Klender,SPAREPART,102812,FLOFV ASS ZENFONE 6,Persediaan,16374.0,0,0.0,0.0,;
Klender,SPAREPART,103071,CSGFL OPP A57 B,Persediaan,66000.0,1,40000.0,40000.0,;
Klender,AKSESORIS,AKMN-003,MINIMO KABEL DATA USB TO LIGHTNING SINGLE PVC 100CM 3A PUTIH DSL01 FST,Persediaan,10000.0,0,0.0,0.0,TEMPO;
Klender,SPAREPART,107167,PERNIK SAM TAB S7 T875,Persediaan,50000.0,0,0.0,0.0,CASH;
Klender,HANDPHONE,105179,HUAWEI TAB MATEPAD 11SE 6/128 (NEW),Persediaan,0.0,0,0.0,0.0,CASH;
Klender,SPAREPART,108801,LCD.. RLM 10 PRO 5G,Persediaan,0.0,1,150000.0,150000.0,;
Klender,SPAREPART,101843,LCD.. HUAWEI HONOR 10 VIEW,Persediaan,0.0,0,0.0,0.0,;
Klender,SPAREPART,104560,FLCRG POCO X3 PRO,Persediaan,0.0,0,0.0,0.0,CASH;
